#{"t_start": 1721873244.311344, "env_id": "Acrobot-v1"}
r,l,t
-143.0,144,49.520009
-122.0,123,49.568164
-239.0,240,49.659174
-208.0,209,49.739914
-291.0,292,49.847031
-127.0,128,49.892449
-152.0,153,49.948659
-152.0,153,50.003087
-144.0,145,50.058483
-201.0,202,50.13309
-218.0,219,50.214332
-249.0,250,50.303069
-275.0,276,50.405288
-149.0,150,50.459579
-178.0,179,50.522663
-169.0,170,50.582254
-329.0,330,50.705163
-249.0,250,50.804512
-240.0,241,50.897245
-238.0,239,50.990209
-200.0,201,51.069514
-191.0,192,51.143574
-187.0,188,51.218405
-177.0,178,51.288152
-169.0,170,51.355856
-133.0,134,51.410777
-138.0,139,51.468867
-171.0,172,51.542416
-201.0,202,51.626463
-167.0,168,51.693887
-226.0,227,51.785645
-108.0,109,51.827816
-174.0,175,51.898639
-164.0,165,51.957626
-184.0,185,52.023787
-107.0,108,52.061165
-230.0,231,52.148732
-153.0,154,52.212134
-148.0,149,52.272308
-139.0,140,52.329821
-117.0,118,52.375966
-129.0,130,52.427941
-166.0,167,52.495862
-126.0,127,52.544655
-225.0,226,52.63323
-174.0,175,52.699358
-97.0,98,52.73754
-138.0,139,52.793175
-115.0,116,52.83917
-158.0,159,52.901296
-171.0,172,52.970639
-186.0,187,53.054439
-144.0,145,53.117651
-235.0,236,53.211855
-140.0,141,53.26258
-432.0,433,53.436018
-202.0,203,53.516011
-169.0,170,53.583441
-254.0,255,53.689735
-166.0,167,53.753154
-256.0,257,53.858801
-226.0,227,53.944554
-215.0,216,54.02807
-145.0,146,54.084772
-120.0,121,54.135845
-286.0,287,54.249057
-474.0,475,54.438326
-207.0,208,54.524076
-447.0,448,54.701605
-296.0,297,54.821049
-261.0,262,54.92521
-297.0,298,55.043717
-382.0,383,55.203052
-155.0,156,55.267585
-130.0,131,55.322773
-154.0,155,55.381407
-116.0,117,55.429098
-90.0,91,55.466125
-233.0,234,55.560586
-194.0,195,55.638493
-187.0,188,55.715897
-277.0,278,55.827358
-149.0,150,55.886451
-162.0,163,55.95162
-268.0,269,56.060808
-332.0,333,56.194533
-247.0,248,56.293522
-205.0,206,56.376686
-164.0,165,56.444585
-500.0,500,56.633801
-281.0,282,56.738512
-274.0,275,56.841231
-268.0,269,56.937171
-388.0,389,57.077977
-241.0,242,57.16335
-197.0,198,57.23903
-205.0,206,57.313748
-193.0,194,57.383105
-290.0,291,57.487953
-313.0,314,57.604411
-169.0,170,57.670031
-221.0,222,57.750409
-223.0,224,57.829098
-250.0,251,57.922084
-135.0,136,57.973977
-157.0,158,58.031592
-198.0,199,58.105427
-148.0,149,58.160431
-79.0,80,58.191239
-224.0,225,58.273872
-116.0,117,58.316237
-123.0,124,58.362142
-185.0,186,58.434542
-242.0,243,58.525107
-143.0,144,58.578449
-176.0,177,58.642596
-133.0,134,58.694622
-160.0,161,58.7544
-165.0,166,58.81554
-191.0,192,58.88441
-166.0,167,58.951989
-285.0,286,59.065224
-159.0,160,59.121529
-128.0,129,59.167741
-127.0,128,59.216513
-115.0,116,59.258378
-166.0,167,59.317201
-160.0,161,59.373583
-167.0,168,59.436334
-177.0,178,59.498233
-231.0,232,59.579615
-118.0,119,59.623735
-128.0,129,59.670331
-176.0,177,59.733552
-209.0,210,59.808228
-147.0,148,59.859363
-92.0,93,59.894895
-215.0,216,59.975308
-237.0,238,60.06497
-143.0,144,60.120681
-154.0,155,60.180543
-258.0,259,60.27751
-317.0,318,60.394392
-186.0,187,60.464619
-118.0,119,60.5134
-153.0,154,60.571642
-126.0,127,60.621585
-109.0,110,60.662411
-153.0,154,60.7249
-110.0,111,60.765964
-79.0,80,60.797463
-208.0,209,60.877252
-208.0,209,60.958069
-188.0,189,61.029618
-204.0,205,61.105149
-126.0,127,61.152029
-247.0,248,61.25099
-186.0,187,61.326569
-148.0,149,61.388628
-175.0,176,61.455715
-123.0,124,61.503516
-156.0,157,61.561541
-148.0,149,61.615362
-182.0,183,61.679361
-179.0,180,61.752888
-131.0,132,61.803969
-163.0,164,61.862964
-201.0,202,61.938228
-165.0,166,62.000906
-252.0,253,62.095404
-155.0,156,62.151684
-166.0,167,62.21261
-217.0,218,62.293175
-172.0,173,62.358765
-165.0,166,62.422008
-155.0,156,62.477522
-120.0,121,62.524483
-210.0,211,62.600453
-203.0,204,62.672643
-178.0,179,62.738571
-188.0,189,62.81161
-175.0,176,62.876185
-229.0,230,62.958638
-106.0,107,62.99702
-161.0,162,63.057638
-222.0,223,63.140557
-113.0,114,63.182911
-120.0,121,63.228244
-146.0,147,63.282226
-135.0,136,63.331073
-138.0,139,63.379402
-137.0,138,63.430313
-407.0,408,63.584291
-113.0,114,63.628222
-141.0,142,63.683131
-250.0,251,63.776809
-147.0,148,63.836919
-172.0,173,63.903929
-107.0,108,63.950209
-114.0,115,63.996398
-119.0,120,64.044353
-169.0,170,64.105811
-224.0,225,64.195344
-86.0,87,64.23024
-97.0,98,64.267572
-150.0,151,64.322223
-115.0,116,64.363379
-176.0,177,64.427543
-128.0,129,64.479444
-94.0,95,64.513509
-76.0,77,64.542264
-96.0,97,64.57604
-109.0,110,64.616271
-99.0,100,64.653458
-154.0,155,64.707228
-179.0,180,64.772384
-153.0,154,64.831906
-108.0,109,64.875417
-95.0,96,64.912866
-122.0,123,64.960661
-131.0,132,65.010932
-167.0,168,65.073469
-106.0,107,65.115721
-106.0,107,65.161086
-94.0,95,65.199723
-138.0,139,65.262476
-147.0,148,65.321144
-148.0,149,65.399172
-97.0,98,65.441187
-193.0,194,65.520777
-500.0,500,65.727131
-181.0,182,65.803157
-149.0,150,65.867548
-161.0,162,65.934376
-124.0,125,65.987448
-122.0,123,66.036422
-156.0,157,66.101403
-189.0,190,66.178077
-168.0,169,66.244715
-132.0,133,66.29769
-133.0,134,66.351707
-152.0,153,66.414096
-167.0,168,66.482043
-166.0,167,66.548836
-161.0,162,66.612159
-158.0,159,66.672234
-138.0,139,66.723889
-168.0,169,66.793351
-88.0,89,66.829753
-86.0,87,66.867646
-156.0,157,66.926793
-128.0,129,66.978429
-183.0,184,67.050155
-93.0,94,67.087625
-179.0,180,67.159278
-88.0,89,67.193241
-131.0,132,67.245926
-154.0,155,67.315434
-112.0,113,67.361075
-138.0,139,67.415211
-162.0,163,67.481707
-120.0,121,67.531472
-124.0,125,67.584617
-136.0,137,67.636809
-82.0,83,67.681149
-147.0,148,67.748201
-148.0,149,67.814425
-125.0,126,67.873199
-102.0,103,67.915851
-97.0,98,67.957829
-74.0,75,67.988841
-78.0,79,68.020834
-143.0,144,68.084148
-256.0,257,68.189392
-141.0,142,68.243076
-152.0,153,68.301712
-152.0,153,68.361323
-148.0,149,68.422435
-164.0,165,68.488461
-108.0,109,68.534671
-77.0,78,68.567676
-134.0,135,68.624945
-151.0,152,68.687753
-120.0,121,68.733747
-175.0,176,68.803363
-165.0,166,68.863265
-156.0,157,68.923378
-160.0,161,68.982747
-148.0,149,69.040358
-184.0,185,69.108527
-145.0,146,69.162104
-123.0,124,69.207313
-129.0,130,69.255823
-111.0,112,69.301756
-285.0,286,69.419164
-94.0,95,69.458288
-101.0,102,69.504081
-185.0,186,69.581554
-93.0,94,69.63862
-136.0,137,69.696734
-111.0,112,69.741966
-176.0,177,69.812127
-100.0,101,69.851775
-108.0,109,69.897226
-124.0,125,69.950754
-78.0,79,69.982718
-280.0,281,70.102357
-106.0,107,70.152437
-129.0,130,70.209483
-107.0,108,70.250064
-122.0,123,70.296951
-210.0,211,70.378326
-137.0,138,70.434111
-85.0,86,70.466725
-223.0,224,70.554169
-88.0,89,70.587564
-185.0,186,70.671308
-78.0,79,70.702326
-84.0,85,70.735064
-110.0,111,70.777674
-107.0,108,70.822983
-184.0,185,70.898096
-111.0,112,70.946682
-88.0,89,70.985477
-127.0,128,71.043084
-143.0,144,71.103863
-86.0,87,71.139135
